name	missing_type	evidence
FtpFindFirstFile	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
FtpGetCurrentDirectory	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
FtpGetFile	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
FtpGetFileEx	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
FtpGetFileSize	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
FtpOpenFile	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
FtpPutFile	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
FtpPutFileEx	BOOLAPI	the corpus has no page defining BOOLAPI; it appears only as a member type inside other structures, so it cannot be declared from official material
FtpRemoveDirectory	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
FtpRenameFile	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
FtpSetCurrentDirectory	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
GetBestInterface	IPAddr	the corpus has no page defining IPAddr; it appears only as a member type inside other structures, so it cannot be declared from official material
GetDriverName	PGETDRIVERNAMEPARMS	the corpus has no page defining PGETDRIVERNAMEPARMS; it appears only as a member type inside other structures, so it cannot be declared from official material
GetRTTAndHopCount	IPAddr	the corpus has no page defining IPAddr; it appears only as a member type inside other structures, so it cannot be declared from official material
GetResourcePassword	PNETUI_RESPWD	the corpus has no page defining PNETUI_RESPWD; it appears only as a member type inside other structures, so it cannot be declared from official material
GetThemeBackgroundExtent	HTHEME	the corpus has no page defining HTHEME; it appears only as a member type inside other structures, so it cannot be declared from official material
GetThemeColor	HTHEME	the corpus has no page defining HTHEME; it appears only as a member type inside other structures, so it cannot be declared from official material
GetUrlCacheGroupAttribute	GROUPID	the corpus has no page defining GROUPID; it appears only as a member type inside other structures, so it cannot be declared from official material
GetUsernamePassword	PNETUI_USERPWD	the corpus has no page defining PNETUI_USERPWD; it appears only as a member type inside other structures, so it cannot be declared from official material
HCI_EstablishDeviceContext	Int	the corpus has no page defining Int; it appears only as a member type inside other structures, so it cannot be declared from official material
HCI_SetCallback	typedef int (*HCI_TransportCallback)(HCI_EVENT eEvent, void* pEvent);int	the corpus has no page defining typedef int (*HCI_TransportCallback)(HCI_EVENT eEvent, void* pEvent);int; it appears only as a member type inside other structures, so it cannot be declared from official material
HidP_FreeCollectionDescription	PHIDP_DEVICE_DESC	the corpus has no page defining PHIDP_DEVICE_DESC; it appears only as a member type inside other structures, so it cannot be declared from official material
HidP_GetCollectionDescription	PHIDP_REPORT_DESCRIPTOR	the corpus has no page defining PHIDP_REPORT_DESCRIPTOR; it appears only as a member type inside other structures, so it cannot be declared from official material
HttpAddRequestHeaders	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
HttpEndRequest	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
HttpOpenRequest	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
HttpQueryInfo	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
HttpSendRequest	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
HttpSendRequestEx	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
HwxALCPriority	HRC	the corpus has no page defining HRC; it appears only as a member type inside other structures, so it cannot be declared from official material
HwxALCValid	HRC	the corpus has no page defining HRC; it appears only as a member type inside other structures, so it cannot be declared from official material
HwxCreate	HRC	the corpus has no page defining HRC; it appears only as a member type inside other structures, so it cannot be declared from official material
HwxDestroy	HRC	the corpus has no page defining HRC; it appears only as a member type inside other structures, so it cannot be declared from official material
HwxEndInput	HRC	the corpus has no page defining HRC; it appears only as a member type inside other structures, so it cannot be declared from official material
HwxGetResults	HRC	the corpus has no page defining HRC; it appears only as a member type inside other structures, so it cannot be declared from official material
HwxInput	HRC	the corpus has no page defining HRC; it appears only as a member type inside other structures, so it cannot be declared from official material
HwxProcess	HRC	the corpus has no page defining HRC; it appears only as a member type inside other structures, so it cannot be declared from official material
HwxResultsAvailable	HRC	the corpus has no page defining HRC; it appears only as a member type inside other structures, so it cannot be declared from official material
HwxSetAbort	HRC	the corpus has no page defining HRC; it appears only as a member type inside other structures, so it cannot be declared from official material
HwxSetContext	HRC	the corpus has no page defining HRC; it appears only as a member type inside other structures, so it cannot be declared from official material
HwxSetGuide	HRC	the corpus has no page defining HRC; it appears only as a member type inside other structures, so it cannot be declared from official material
HwxSetPartial	HRC	the corpus has no page defining HRC; it appears only as a member type inside other structures, so it cannot be declared from official material
IcmpSendEcho	IPAddr	the corpus has no page defining IPAddr; it appears only as a member type inside other structures, so it cannot be declared from official material
IcmpSendEcho2	?	the corpus has no page defining ?; it appears only as a member type inside other structures, so it cannot be declared from official material
Install_Exit	codeINSTALL_EXIT	the corpus has no page defining codeINSTALL_EXIT; it appears only as a member type inside other structures, so it cannot be declared from official material
InternetCloseHandle	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
InternetConnect	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
InternetCrackUrl	LPURL_COMPONENTS	the corpus has no page defining LPURL_COMPONENTS; it appears only as a member type inside other structures, so it cannot be declared from official material
InternetCreateUrl	LPURL_COMPONENTS	the corpus has no page defining LPURL_COMPONENTS; it appears only as a member type inside other structures, so it cannot be declared from official material
InternetErrorDlg	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
InternetFindNextFile	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
InternetLockRequestFile	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
InternetOpen	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
InternetOpenUrl	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
InternetQueryDataAvailable	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
InternetQueryOption	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
InternetReadFile	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
InternetReadFileEx	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
InternetSetFilePointer	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
InternetSetOption	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
InternetSetStatusCallback	INTERNET_STATUS_	the corpus has no page defining INTERNET_STATUS_; it appears only as a member type inside other structures, so it cannot be declared from official material
InternetWriteFile	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
LineConfigEdit	PLINECONFIGDATA	the corpus has no page defining PLINECONFIGDATA; it appears only as a member type inside other structures, so it cannot be declared from official material
MQReceiveMessage	PMQRECEIVECALLBACK	the corpus has no page defining PMQRECEIVECALLBACK; it appears only as a member type inside other structures, so it cannot be declared from official material
MonitorEnumProc	LPRECT	the corpus has no page defining LPRECT; it appears only as a member type inside other structures, so it cannot be declared from official material
NetApiBufferFree	NET_API_STATUS	the corpus has no page defining NET_API_STATUS; it appears only as a member type inside other structures, so it cannot be declared from official material
OEMKitlInit	PKITLTRANSPORT	the corpus has no page defining PKITLTRANSPORT; it appears only as a member type inside other structures, so it cannot be declared from official material
OEMLaunch	ROMHDR	the corpus has no page defining ROMHDR; it appears only as a member type inside other structures, so it cannot be declared from official material
OEMMultiBINNotify	PMultiBINInfo	the corpus has no page defining PMultiBINInfo; it appears only as a member type inside other structures, so it cannot be declared from official material
OpenThemeDataEx	HTHEME	the corpus has no page defining HTHEME; it appears only as a member type inside other structures, so it cannot be declared from official material
PCIInitInfo	PPCI_COMMON_CONFIG	the corpus has no page defining PPCI_COMMON_CONFIG; it appears only as a member type inside other structures, so it cannot be declared from official material
PCIReg	PPCI_REG_INFO	the corpus has no page defining PPCI_REG_INFO; it appears only as a member type inside other structures, so it cannot be declared from official material
PlatformDeviceListInit	PDEVICE_LIST	the corpus has no page defining PDEVICE_LIST; it appears only as a member type inside other structures, so it cannot be declared from official material
PlatformSendInitialNotifications	PPOWER_NOTIFICATION	the corpus has no page defining PPOWER_NOTIFICATION; it appears only as a member type inside other structures, so it cannot be declared from official material
PlatformSetSystemPowerState	LPCSTSTR	the corpus has no page defining LPCSTSTR; it appears only as a member type inside other structures, so it cannot be declared from official material
QUERYCLIENTCERT	PLDAP	the corpus has no page defining PLDAP; it appears only as a member type inside other structures, so it cannot be declared from official material
RasGetDispPhoneNum	?	the corpus has no page defining ?; it appears only as a member type inside other structures, so it cannot be declared from official material
SendARP	IPAddr	the corpus has no page defining IPAddr; it appears only as a member type inside other structures, so it cannot be declared from official material
SetUrlCacheEntryGroup	GROUPID	the corpus has no page defining GROUPID; it appears only as a member type inside other structures, so it cannot be declared from official material
SetUrlCacheGroupAttribute	GROUPID	the corpus has no page defining GROUPID; it appears only as a member type inside other structures, so it cannot be declared from official material
SpCreateBestObject	T	the corpus has no page defining T; it appears only as a member type inside other structures, so it cannot be declared from official material
SpCreateDefaultObjectFromCategoryId	T	the corpus has no page defining T; it appears only as a member type inside other structures, so it cannot be declared from official material
SpCreateObjectFromSubToken	T	the corpus has no page defining T; it appears only as a member type inside other structures, so it cannot be declared from official material
SpCreateObjectFromToken	T	the corpus has no page defining T; it appears only as a member type inside other structures, so it cannot be declared from official material
SpCreateObjectFromTokenId	T	the corpus has no page defining T; it appears only as a member type inside other structures, so it cannot be declared from official material
SpEnumTokens	IEnumSpObjectTokens	the corpus has no page defining IEnumSpObjectTokens; it appears only as a member type inside other structures, so it cannot be declared from official material
TSPI_lineConditionalMediaDetection	hdConsultCall	the corpus has no page defining hdConsultCall; it appears only as a member type inside other structures, so it cannot be declared from official material
TouchPanelEnable	PFN_TOUCH_PANEL_CALLBACK	the corpus has no page defining PFN_TOUCH_PANEL_CALLBACK; it appears only as a member type inside other structures, so it cannot be declared from official material
UfnGetRegistryInfo	PUFN_CLIENT_REG_INFO	the corpus has no page defining PUFN_CLIENT_REG_INFO; it appears only as a member type inside other structures, so it cannot be declared from official material
WPUCompleteOverlappedRequest	int WSPAPI	the corpus has no page defining int WSPAPI; it appears only as a member type inside other structures, so it cannot be declared from official material
WPUQueryBlockingCallback	LPBLOCKINGCALLBACK FAR	the corpus has no page defining LPBLOCKINGCALLBACK FAR; it appears only as a member type inside other structures, so it cannot be declared from official material
lineCallbackFunc	VOID PASCAL	the corpus has no page defining VOID PASCAL; it appears only as a member type inside other structures, so it cannot be declared from official material
phoneCallbackFunc	VOID PASCAL	the corpus has no page defining VOID PASCAL; it appears only as a member type inside other structures, so it cannot be declared from official material
DllMain	-	ms885202 prints 'Link Library: Coredll.lib.' but DllMain is the DLL's own entry point; an dllimport declaration breaks every DLL built against the SDK (tests/e2e/e2e_module.c, -Winconsistent-dllimport), so it is recorded and not declared
SpClearEvent	-	the page prints 'inline HRESULT SpClearEvent(...)' (Header: Sphelper.h, Link Library: Sapilib.lib); the archive never prints the body and no def exports this name, so a prototype would promise a symbol nothing provides
SpConvertStreamFormatEnum	-	the page prints 'inline HRESULT SpConvertStreamFormatEnum(...)' (Header: Sphelper.h, Link Library: Sapilib.lib); the archive never prints the body and no def exports this name, so a prototype would promise a symbol nothing provides
SpCreatePhoneConverter	-	the page prints 'inline HRESULT SpCreatePhoneConverter(...)' (Header: Sphelper.h, Link Library: Sapilib.lib); the archive never prints the body and no def exports this name, so a prototype would promise a symbol nothing provides
SpEventSerializeSize	-	the page prints 'inline HRESULT SpEventSerializeSize(...)' (Header: Sphelper.h, Link Library: Sapilib.lib); the archive never prints the body and no def exports this name, so a prototype would promise a symbol nothing provides
SpFindBestToken	-	the page prints 'inline HRESULT SpFindBestToken(...)' (Header: Sphelper.h, Link Library: Sapilib.lib); the archive never prints the body and no def exports this name, so a prototype would promise a symbol nothing provides
SpGetDefaultTokenIdFromCategoryId	-	the page prints 'inline HRESULT SpGetDefaultTokenIdFromCategoryId(...)' (Header: Sphelper.h, Link Library: Sapilib.lib); the archive never prints the body and no def exports this name, so a prototype would promise a symbol nothing provides
SpGetUserDefaultUILanguage	-	the page prints 'inline HRESULT SpGetUserDefaultUILanguage(...)' (Header: Sphelper.h, Link Library: Sapilib.lib); the archive never prints the body and no def exports this name, so a prototype would promise a symbol nothing provides
SpInitEvent	-	the page prints 'inline HRESULT SpInitEvent(...)' (Header: Sphelper.h, Link Library: Sapilib.lib); the archive never prints the body and no def exports this name, so a prototype would promise a symbol nothing provides
SpSetCommonTokenData	-	the page prints 'inline HRESULT SpSetCommonTokenData(...)' (Header: Sphelper.h, Link Library: Sapilib.lib); the archive never prints the body and no def exports this name, so a prototype would promise a symbol nothing provides
SpSetDefaultTokenForCategoryId	-	the page prints 'inline HRESULT SpSetDefaultTokenForCategoryId(...)' (Header: Sphelper.h, Link Library: Sapilib.lib); the archive never prints the body and no def exports this name, so a prototype would promise a symbol nothing provides
SpSetDefaultTokenIdForCategoryId	-	the page prints 'inline HRESULT SpSetDefaultTokenIdForCategoryId(...)' (Header: Sphelper.h, Link Library: Sapilib.lib); the archive never prints the body and no def exports this name, so a prototype would promise a symbol nothing provides
