# class	lib	function_pages_seen	example_pages	note
driver-static	mgbitmap	2	CreateBitmap;CreateCompatibleBitmap	Platform Builder / OAL static library (driver-internal); no application import surface
driver-static	mgblt	1	BitBlt	Platform Builder / OAL static library (driver-internal); no application import surface
driver-static	mgblt2	3	MaskBlt;PatBlt	Platform Builder / OAL static library (driver-internal); no application import surface
driver-static	mgdc	4	CreateDC;ExtEscape	Platform Builder / OAL static library (driver-internal); no application import surface
driver-static	mgdi_c	2	CreateDIBSection;EqualRgn	Platform Builder / OAL static library (driver-internal); no application import surface
driver-static	mgdibsec	1	CreateDIBSection	Platform Builder / OAL static library (driver-internal); no application import surface
driver-static	mgdraw	20	CreateDIBPatternBrushPt;CreatePatternBrush	Platform Builder / OAL static library (driver-internal); no application import surface
driver-static	mgdrwtxt	1	DrawText	Platform Builder / OAL static library (driver-internal); no application import surface
driver-static	mgpal	7	CreatePalette;GetNearestColor	Platform Builder / OAL static library (driver-internal); no application import surface
driver-static	mgrast	6	CreateFontIndirect;GetTextExtentExPoint	Platform Builder / OAL static library (driver-internal); no application import surface
driver-static	mgrast2	3	EnumFontFamilies;GetTextFace	Platform Builder / OAL static library (driver-internal); no application import surface
driver-static	mgrgn	14	CombineRgn;CreateRectRgn	Platform Builder / OAL static library (driver-internal); no application import surface
driver-static	mgtt	8	EnableEUDC;CreateFontIndirect	Platform Builder / OAL static library (driver-internal); no application import surface
driver-static	mgwinmgr	1	ScrollDC	Platform Builder / OAL static library (driver-internal); no application import surface
needs-investigation	mixerapi	10	mixerClose;mixerGetControlDetails	no harvested page names this library in its Requirements row (corpus scan 2026-09-18, re-checked at 77,316 pages); no doc-derived def possible yet -- re-check as the harvest grows
com-guid	mqoa	60	MSMQEvent.Arrived;MSMQEvent.ArrivedError	COM interfaces / GUID data; a def would carry GUID/class-factory data entries only
driver-static	ndislib	184	ProtocolBindAdapter;ProtocolCloseAdapterComplete	Platform Builder / OAL static library (driver-internal); no application import surface
driver-static	nk	94	SetThreadContext;WaitForDebugEvent	Platform Builder / OAL static library (driver-internal); no application import surface
driver-static	nkprof	2	OEMProfileTimerDisable;OEMProfileTimerEnable	Platform Builder / OAL static library (driver-internal); no application import surface
needs-investigation	notify	9	CeClearUserNotification;CeGetUserNotification	no harvested page names this library in its Requirements row (corpus scan 2026-09-18, re-checked at 77,316 pages); no doc-derived def possible yet -- re-check as the harvest grows
needs-investigation	ole232	82	CreateOleAdviseHolder;OleCreate	no harvested page names this library in its Requirements row (corpus scan 2026-09-18, re-checked at 77,316 pages); no doc-derived def possible yet -- re-check as the harvest grows
com-guid	owaexchangeclient	29	IExchangeClientContactInformation::GetDi;IExchangeClientContactInformation::GetEm	COM interfaces / GUID data; a def would carry GUID/class-factory data entries only
driver-static	pcireg	4	PCIInitInfo;PCIReg	Platform Builder / OAL static library (driver-internal); no application import surface
resolved	ppp	20	RasDeleteEntry;RasDial	RESOLVED: def/ppp-doc.def (5 Ras*Buffer names; pages name Ppp.lib)
needs-investigation	redir	11	WNetCancelConnection2;WNetCloseEnum	no harvested page names this library in its Requirements row (corpus scan 2026-09-18, re-checked at 77,316 pages); no doc-derived def possible yet -- re-check as the harvest grows
needs-investigation	schannel	14	AcquireCredentialsHandle;CompleteAuthToken	no harvested page names this library in its Requirements row (corpus scan 2026-09-18, re-checked at 77,316 pages); no doc-derived def possible yet -- re-check as the harvest grows
needs-investigation	shortcut	2	SHCreateShortcut;SHGetShortcutTarget	no harvested page names this library in its Requirements row (corpus scan 2026-09-18, re-checked at 77,316 pages); no doc-derived def possible yet -- re-check as the harvest grows
needs-investigation	user32	5	EnumDisplayMonitors;GetMonitorInfo	no harvested page names this library in its Requirements row (corpus scan 2026-09-18, re-checked at 77,316 pages); no doc-derived def possible yet -- re-check as the harvest grows
driver-static	wavelib	37	PlaySound;sndPlaySound	Platform Builder / OAL static library (driver-internal); no application import surface
com-guid	d3dmguid	87	IDirect3DMobileBaseTexture::SetLOD;IDirect3DMobile::CheckDepthStencilMatch	COM interfaces / GUID data; a def would carry GUID/class-factory data entries only
com-guid	ddvdids	304	IDVDDataSearchInfo/IDVDDataSearchInfo::G;IDVDDataSearchInfo/IDVDDataSearchInfo::G	COM interfaces / GUID data; a def would carry GUID/class-factory data entries only
com-guid	ddvduuid	2	IDVDROM/IDVDROM::Bind;IDVDROM::Bind	COM interfaces / GUID data; a def would carry GUID/class-factory data entries only
com-guid	dmoguid	69	DMO_MEDIA_TYPE;IDMOQualityControl::GetStatus	COM interfaces / GUID data; a def would carry GUID/class-factory data entries only
com-guid	dmoguids	1	IDMOWrapperFilter::Init	COM interfaces / GUID data; a def would carry GUID/class-factory data entries only
com-guid	uuid	1425	IRemoteUIModule::Get;IRemoteUIModule::Init	COM interfaces / GUID data; a def would carry GUID/class-factory data entries only
com-guid	voipguid	100	IVoIPMediaMgr::ConferenceSessions;IVoIPMediaMgr::OnSessionOperationComplet	COM interfaces / GUID data; a def would carry GUID/class-factory data entries only
com-guid	wvuuid	62	_DPIEWebBrowserEvents2::BeforeNavigate2;_DPIEWebBrowserEvents2::CommandStateChan	COM interfaces / GUID data; a def would carry GUID/class-factory data entries only
driver-static	dvdmptxt	0		Platform Builder / OAL static library (driver-internal); no application import surface
